Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"JPMORGAN CHASE & CO","Corporates","Fixed Income","10,319,627.57","0.83","10,319,627.57","9,144,000.00","46625HJY7","US46625HJY71","BR17VT4","111.25","United States","-","USD","3.34","0.69","1.00","Sep 10, 2024","3.88","3.34","-","0.69","3.34","0.69","USD","Sep 10, 2014","Sep 10, 2014"
"ABBVIE INC","Corporates","Fixed Income","10,176,265.53","0.82","10,176,265.53","9,466,000.00","00287YBZ1","US00287YBZ16","BK7BXL7","106.94","United States","-","USD","3.54","0.74","1.00","Nov 21, 2024","2.60","3.60","-","0.70","3.53","0.70","USD","Nov 17, 2020","May 21, 2020"
"BANK OF AMERICA CORP MTN","Corporates","Fixed Income","9,683,406.42","0.78","9,683,406.42","8,521,000.00","06051GFH7","US06051GFH74","BQ8NSJ7","111.74","United States","-","USD","3.28","0.83","1.00","Aug 26, 2024","4.20","3.28","-","0.83","3.28","0.83","USD","Aug 26, 2014","Aug 26, 2014"
"BRISTOL-MYERS SQUIBB CO","Corporates","Fixed Income","9,338,340.13","0.76","9,338,340.13","8,623,000.00","110122CM8","US110122CM85","-","108.19","United States","-","USD","3.24","0.51","1.00","Jul 26, 2024","2.90","3.32","-","0.46","3.24","0.46","USD","Jul 17, 2020","Jan 26, 2020"
"MORGAN STANLEY MTN","Corporates","Fixed Income","9,319,273.37","0.75","9,319,273.37","8,297,000.00","61761JVL0","US61761JVL06","BRJZZY3","111.21","United States","-","USD","3.47","0.63","1.00","Oct 23, 2024","3.70","3.47","-","0.63","3.47","0.63","USD","Oct 23, 2014","Oct 23, 2014"
"MORGAN STANLEY MTN","Corporates","Fixed Income","9,085,233.75","0.73","9,085,233.75","8,144,000.00","61746BDQ6","US61746BDQ68","BLWP5G0","110.48","United States","-","USD","3.03","0.59","1.00","Apr 29, 2024","3.88","3.03","-","0.59","3.03","0.59","USD","Apr 28, 2014","Apr 28, 2014"
"CREDIT SUISSE NEW YORK NY MTN","Corporates","Fixed Income","9,061,429.88","0.73","9,061,429.88","8,072,000.00","22546QAP2","US22546QAP28","BQR7XJ5","110.73","Switzerland","-","USD","3.35","0.59","1.00","Sep 09, 2024","3.63","3.35","-","0.59","3.35","0.59","USD","Sep 09, 2014","Sep 09, 2014"
"WELLS FARGO & COMPANY MTN","Corporates","Fixed Income","8,776,712.29","0.71","8,776,712.29","8,038,000.00","95000U2C6","US95000U2C66","BJ2KZ94","109.03","United States","-","USD","2.75","0.66","1.00","Jan 24, 2024","3.75","2.82","-","0.58","2.75","0.58","USD","Jan 24, 2019","Jan 24, 2019"
"INTERNATIONAL BUSINESS MACHINES CO","Corporates","Fixed Income","8,673,218.53","0.70","8,673,218.53","7,971,000.00","459200JY8","US459200JY80","BK59294","108.09","United States","-","USD","3.11","0.50","1.00","May 15, 2024","3.00","3.11","-","0.50","3.11","0.50","USD","May 15, 2019","May 15, 2019"
"GOLDMAN SACHS GROUP INC MTN","Corporates","Fixed Income","8,366,291.44","0.68","8,366,291.44","7,471,000.00","38141GVM3","US38141GVM31","BK573H3","110.23","United States","-","USD","2.88","0.63","1.00","Mar 03, 2024","4.00","2.87","-","0.63","2.87","0.63","USD","Mar 03, 2014","Mar 03, 2014"
